year,month,day,hour,pm25,DEWP,TEMP,PRES,cbwd,Iws
2010,3,1,0,69,-4,-3,1026,SE,7.15
2010,3,1,1,59,-5,-4,1026,SE,12.07
2010,3,1,2,42,-5,-4,1025,SE,15.2
2010,3,1,3,35,-5,-4,1025,SE,18.33
2010,3,1,4,35,-5,-5,1025,SE,20.12
2010,3,1,5,29,-5,-4,1025,SE,23.25
2010,3,1,6,25,-5,-4,1026,SE,25.04
2010,3,1,7,23,-5,-4,1025,SE,28.17
2010,3,1,8,17,-5,-4,1026,SE,29.96
2010,3,1,9,25,-5,-3,1026,SE,33.09
2010,3,1,10,39,-5,-2,1025,SE,36.22
2010,3,1,11,44,-5,-1,1024,SE,38.01
2010,3,1,12,51,-6,-2,1023,SE,39.8
2010,3,1,13,61,-6,-1,1022,SE,42.93
2010,3,1,14,70,-5,-1,1021,SE,46.06
2010,3,1,15,70,-5,-1,1021,SE,50.08
2010,3,1,16,65,-5,-1,1020,SE,53.21
2010,3,1,17,75,-5,-1,1020,SE,58.13
2010,3,1,18,86,-5,-2,1020,SE,63.05
2010,3,1,19,91,-5,-2,1020,SE,67.07
2010,3,1,20,95,-5,-2,1020,SE,70.2
2010,3,1,21,89,-5,-2,1019,SE,73.33
2010,3,1,22,96,-5,-2,1019,SE,77.35
2010,3,1,23,99,-5,-2,1019,SE,80.48
2010,3,2,0,101,-5,-2,1019,SE,82.27
2010,3,2,1,101,-5,-2,1019,cv,0.89
2010,3,2,2,108,-5,-2,1019,SE,0.89
2010,3,2,3,108,-5,-3,1018,cv,0.89
2010,3,2,4,115,-6,-5,1018,cv,1.78
2010,3,2,5,111,-7,-6,1018,NW,1.79
2010,3,2,6,120,-7,-6,1019,cv,0.89
2010,3,2,7,125,-8,-6,1020,cv,1.78
2010,3,2,8,138,-6,-5,1021,NW,1.79
2010,3,2,9,164,-4,0,1022,NW,4.92
2010,3,2,10,169,-7,2,1023,NW,12.07
2010,3,2,11,82,-9,4,1022,NW,20.12
2010,3,2,12,63,-9,6,1022,NW,28.17
2010,3,2,13,37,-11,6,1022,NW,36.22
2010,3,2,14,37,-12,7,1021,NW,44.27
2010,3,2,15,36,-12,8,1021,NW,52.32
2010,3,2,16,30,-13,8,1021,NW,60.37
2010,3,2,17,27,-12,8,1021,NW,65.29
2010,3,2,18,28,-13,7,1022,NW,69.31
2010,3,2,19,34,-12,7,1023,NW,72.44
2010,3,2,20,44,-12,5,1024,cv,0.89
2010,3,2,21,116,-11,5,1024,NW,1.79
2010,3,2,22,139,-6,3,1024,SE,3.13
2010,3,2,23,129,-6,0,1025,cv,0.89
2010,3,3,0,109,-6,3,1024,NW,1.79
2010,3,3,1,97,-5,0,1025,SE,0.89
2010,3,3,2,92,-5,-2,1025,cv,0.89
2010,3,3,3,158,-7,-1,1025,SE,4.02
2010,3,3,4,178,-8,-1,1024,SE,8.94
2010,3,3,5,135,-8,-1,1024,SE,12.96
2010,3,3,6,111,-8,-1,1024,SE,16.98
2010,3,3,7,114,-9,-2,1025,cv,0.89
2010,3,3,8,121,-7,-1,1025,SE,0.89
2010,3,3,9,126,-8,0,1026,cv,0.89
2010,3,3,10,133,-7,1,1026,SE,3.13
2010,3,3,11,146,-7,2,1025,SE,6.26
2010,3,3,12,165,-5,3,1025,SE,9.39
2010,3,3,13,202,-5,4,1023,SE,12.52
2010,3,3,14,230,-5,5,1022,SE,15.65
2010,3,3,15,247,-6,5,1021,SE,18.78
2010,3,3,16,236,-6,6,1021,SE,20.57
2010,3,3,17,227,-6,5,1020,SE,24.59
2010,3,3,18,224,-6,4,1019,cv,0.89
2010,3,3,19,187,-5,3,1020,SE,1.79
2010,3,3,20,150,-5,3,1020,SE,3.58
2010,3,3,21,144,-5,2,1020,cv,0.89
2010,3,3,22,123,-4,1,1020,cv,1.78
2010,3,3,23,134,-6,2,1020,SE,1.79
2010,3,4,0,98,-5,2,1019,SE,4.92
2010,3,4,1,101,-5,1,1019,SE,6.71
2010,3,4,2,108,-5,1,1018,SE,9.84
2010,3,4,3,126,-5,1,1017,SE,12.97
2010,3,4,4,125,-4,0,1016,cv,0.89
2010,3,4,5,121,-3,0,1015,NE,1.79
2010,3,4,6,123,-4,-1,1015,SE,1.79
2010,3,4,7,126,-4,-1,1015,SE,3.58
2010,3,4,8,131,-3,0,1016,SE,4.47
2010,3,4,9,126,-4,1,1016,SE,7.6
2010,3,4,10,156,-4,3,1016,SE,9.39
2010,3,4,11,187,-4,3,1015,SE,12.52
2010,3,4,12,220,-4,4,1015,SE,14.31
2010,3,4,13,237,-4,6,1014,SE,17.44
2010,3,4,14,252,-4,7,1013,SE,19.23
2010,3,4,15,226,-4,7,1014,SE,22.36
2010,3,4,16,231,-3,5,1013,NW,3.13
2010,3,4,17,222,-2,3,1013,NW,8.05
2010,3,4,18,246,-2,3,1013,cv,0.89
2010,3,4,19,261,-2,3,1014,cv,1.78
2010,3,4,20,256,-2,3,1015,NW,1.79
2010,3,4,21,255,-2,3,1016,NW,4.92
2010,3,4,22,263,-2,2,1017,NW,8.05
2010,3,4,23,269,-2,2,1018,NW,12.07
2010,3,5,0,248,-2,1,1019,NW,16.99
2010,3,5,1,89,-10,3,1020,NW,22.8
2010,3,5,2,15,-13,2,1021,NW,26.82
2010,3,5,3,19,-17,1,1022,NW,35.76
2010,3,5,4,15,-16,0,1022,NW,45.59
2010,3,5,5,13,-16,-1,1024,NW,53.64
2010,3,5,6,16,-16,-2,1026,NW,62.58
2010,3,5,7,19,-18,-3,1027,NW,71.52
2010,3,5,8,19,-19,-2,1028,NW,81.35
2010,3,5,9,24,-23,-1,1027,NW,95.21
2010,3,5,10,24,-25,0,1027,NW,105.04
2010,3,5,11,17,-25,2,1029,NW,110.85
2010,3,5,12,11,-24,2,1029,NW,116.66
2010,3,5,13,17,-25,3,1028,NW,123.81
2010,3,5,14,14,-25,3,1028,NW,130.96
2010,3,5,15,16,-25,2,1028,NE,4.92
2010,3,5,16,16,-24,3,1028,cv,1.79
2010,3,5,17,18,-25,2,1029,NE,3.13
2010,3,5,18,22,-24,1,1029,NE,6.26
2010,3,5,19,30,-24,0,1030,NE,9.39
2010,3,5,20,27,-25,0,1030,NE,12.52
2010,3,5,21,29,-23,0,1031,NE,17.44
2010,3,5,22,20,-22,-1,1032,NE,23.25
2010,3,5,23,14,-22,-2,1033,NE,29.06
2010,3,6,0,19,-22,-2,1033,NE,34.87
2010,3,6,1,16,-21,-3,1034,NE,40.68
2010,3,6,2,12,-21,-3,1034,NE,44.7
2010,3,6,3,13,-22,-4,1035,NE,49.62
2010,3,6,4,15,-22,-4,1034,NE,55.43
2010,3,6,5,11,-23,-5,1034,NE,61.24
2010,3,6,6,19,-23,-5,1035,NE,66.16
2010,3,6,7,16,-23,-5,1035,NE,71.97
2010,3,6,8,27,-22,-5,1035,NE,76.89
2010,3,6,9,23,-22,-3,1036,NE,80.91
2010,3,6,10,29,-23,-2,1036,NE,82.7
2010,3,6,11,26,-22,-1,1035,NW,1.79
2010,3,6,12,39,-22,0,1034,SE,1.79
2010,3,6,13,52,-20,1,1033,cv,3.13
2010,3,6,14,65,-18,1,1032,cv,4.92
2010,3,6,15,91,-13,2,1031,SE,4.02
2010,3,6,16,103,-13,2,1031,cv,1.79
2010,3,6,17,99,-10,1,1031,SE,3.13
2010,3,6,18,99,-9,-1,1032,SE,6.26
2010,3,6,19,103,-9,-1,1032,SE,9.39
2010,3,6,20,96,-9,-1,1033,SE,11.18
2010,3,6,21,76,-9,-3,1034,SE,12.07
2010,3,6,22,69,-9,-4,1034,SE,13.86
2010,3,6,23,83,-9,-3,1035,SE,18.78
2010,3,7,0,62,-9,-3,1035,SE,21.91
2010,3,7,1,51,-9,-4,1035,SE,25.04
2010,3,7,2,53,-9,-5,1035,SE,28.17
2010,3,7,3,68,-10,-6,1035,SE,31.3
2010,3,7,4,71,-9,-5,1035,SE,34.43
2010,3,7,5,62,-10,-5,1035,SE,37.56
2010,3,7,6,58,-10,-6,1035,SE,39.35
2010,3,7,7,69,-11,-7,1036,cv,0.45
2010,3,7,8,74,-9,-5,1037,cv,0.9
2010,3,7,9,67,-10,-3,1037,SE,1.79
2010,3,7,10,57,-10,-2,1035,SE,4.92
2010,3,7,11,69,-10,-1,1036,SE,8.05
2010,3,7,12,83,-11,0,1036,SE,11.18
2010,3,7,13,92,-11,1,1035,cv,1.79
2010,3,7,14,100,-10,0,1034,cv,3.58
2010,3,7,15,108,-11,0,1034,SE,3.13
2010,3,7,16,132,-11,0,1033,SE,6.26
2010,3,7,17,132,-12,0,1034,SE,8.05
2010,3,7,18,134,-12,-1,1034,cv,0.89
2010,3,7,19,128,-11,-1,1035,SE,1.79
2010,3,7,20,124,-10,-1,1036,cv,0.89
2010,3,7,21,116,-10,-1,1036,cv,1.78
2010,3,7,22,114,-10,-1,1036,cv,2.67
2010,3,7,23,70,-11,-3,1037,cv,3.56
2010,3,8,0,76,-5,-4,1038,SE,1.79
2010,3,8,1,68,-5,-4,1038,SE,3.58
2010,3,8,2,74,-5,-4,1038,SE,5.37
2010,3,8,3,75,-5,-4,1038,SE,7.16
2010,3,8,4,63,-5,-4,1038,SE,10.29
2010,3,8,5,73,-5,-4,1038,SE,12.08
2010,3,8,6,61,-5,-4,1038,SE,13.87
2010,3,8,7,63,-5,-4,1038,SE,15.66
2010,3,8,8,65,-6,-5,1040,SE,18.79
2010,3,8,9,43,-7,-5,1040,SE,22.81
2010,3,8,10,29,-6,-4,1041,SE,24.6
2010,3,8,11,28,-6,-3,1041,SE,26.39
2010,3,8,12,26,-6,-2,1041,SE,28.18
2010,3,8,13,29,-6,-2,1040,cv,0.45
2010,3,8,14,32,-8,-2,1039,cv,1.34
2010,3,8,15,33,-7,-2,1039,cv,2.23
2010,3,8,16,43,-7,-2,1039,NW,1.79
2010,3,8,17,50,-7,-2,1039,NW,4.92
2010,3,8,18,56,-8,-3,1039,NW,8.05
2010,3,8,19,63,-8,-2,1040,NW,12.97
2010,3,8,20,47,-8,-3,1041,NW,17.89
2010,3,8,21,27,-10,-3,1041,NW,25.04
2010,3,8,22,20,-12,-4,1042,NW,33.09
2010,3,8,23,16,-13,-4,1042,NW,40.24
2010,3,9,0,5,-15,-5,1042,NW,46.05
2010,3,9,1,7,-16,-5,1042,NW,53.2
2010,3,9,2,8,-17,-6,1042,NW,60.35
2010,3,9,3,10,-18,-6,1041,NW,67.5
2010,3,9,4,13,-19,-7,1040,NW,73.31
2010,3,9,5,11,-19,-7,1040,NW,80.46
2010,3,9,6,13,-20,-8,1039,NW,84.48
2010,3,9,7,20,-18,-8,1039,NW,88.5
2010,3,9,8,18,-18,-6,1039,NW,92.52
2010,3,9,9,18,-19,-5,1039,NW,98.33
2010,3,9,10,14,-18,-4,1038,NW,105.48
2010,3,9,11,20,-17,-3,1037,NW,112.63
2010,3,9,12,19,-15,-2,1035,NW,119.78
2010,3,9,13,20,-16,-1,1034,NW,127.83
2010,3,9,14,20,-19,0,1032,NW,136.77
2010,3,9,15,23,-20,1,1031,NW,145.71
2010,3,9,16,21,-23,1,1031,NW,154.65
2010,3,9,17,14,-22,1,1030,NW,164.48
2010,3,9,18,16,-20,0,1030,NW,170.29
2010,3,9,19,16,-18,0,1030,NW,175.21
2010,3,9,20,26,-17,-2,1030,NW,179.23
2010,3,9,21,22,-18,-2,1030,cv,0.89
2010,3,9,22,27,-13,-5,1029,cv,1.78
2010,3,9,23,51,-16,-2,1029,SE,1.79
2010,3,10,0,46,-11,-5,1028,SE,2.68
2010,3,10,1,51,-13,-6,1027,NW,1.79
2010,3,10,2,48,-12,-6,1027,NW,2.68
2010,3,10,3,61,-13,-7,1026,NW,3.57
2010,3,10,4,58,-14,-8,1026,NW,5.36
2010,3,10,5,85,-14,-7,1025,NW,7.15
2010,3,10,6,84,-14,-9,1025,NW,10.28
2010,3,10,7,87,-13,-8,1025,cv,0.89
2010,3,10,8,111,-11,-4,1025,cv,1.78
2010,3,10,9,105,-13,-1,1025,cv,2.67
2010,3,10,10,70,-15,2,1024,NW,3.13
2010,3,10,11,53,-16,5,1023,NW,6.26
2010,3,10,12,48,-16,7,1021,cv,3.13
2010,3,10,13,44,-18,8,1020,SE,3.13
2010,3,10,14,33,-19,9,1018,SE,7.15
2010,3,10,15,37,-19,9,1017,SE,10.28
2010,3,10,16,40,-15,8,1016,SE,14.3
2010,3,10,17,34,-15,8,1016,SE,17.43
2010,3,10,18,32,-14,6,1016,SE,21.45
2010,3,10,19,33,-12,5,1016,SE,24.58
2010,3,10,20,51,-11,3,1017,SE,27.71
2010,3,10,21,62,-10,2,1017,SE,29.5
2010,3,10,22,68,-11,4,1017,SE,32.63
2010,3,10,23,89,-10,3,1016,SE,35.76
2010,3,11,0,101,-8,-1,1015,cv,0.89
2010,3,11,1,106,-8,-1,1014,SE,0.89
2010,3,11,2,144,-8,-4,1014,cv,0.45
2010,3,11,3,142,-8,-4,1014,NW,1.79
2010,3,11,4,140,-7,-3,1012,cv,0.89
2010,3,11,5,158,-8,-4,1013,NW,1.79
2010,3,11,6,135,-7,-4,1013,cv,0.89
2010,3,11,7,145,-7,-4,1012,cv,1.78
2010,3,11,8,161,-6,-1,1013,cv,2.67
2010,3,11,9,183,-9,1,1013,SE,0.89
2010,3,11,10,199,-10,3,1012,cv,0.89
2010,3,11,11,224,-10,5,1011,SE,3.13
2010,3,11,12,193,-10,6,1010,SE,6.26
2010,3,11,13,167,-10,7,1009,SE,9.39
2010,3,11,14,162,-9,8,1007,SE,12.52
2010,3,11,15,163,-9,8,1005,SE,16.54
2010,3,11,16,163,-8,9,1005,cv,1.79
2010,3,11,17,154,-9,8,1005,cv,2.68
2010,3,11,18,189,-6,6,1004,SE,1.79
2010,3,11,19,210,-6,5,1005,NW,4.02
2010,3,11,20,222,-6,4,1005,NW,5.81
2010,3,11,21,216,-6,3,1005,NW,7.6
2010,3,11,22,219,-6,4,1005,NW,10.73
2010,3,11,23,223,-6,2,1005,NW,11.62
2010,3,12,0,213,-6,5,1006,NW,16.54
2010,3,12,1,314,-9,10,1007,NW,31.74
2010,3,12,2,59,-10,8,1009,NW,39.79
2010,3,12,3,38,-10,6,1011,NW,47.84
2010,3,12,4,29,-13,5,1012,NW,57.67
2010,3,12,5,27,-13,4,1013,NW,64.82
2010,3,12,6,20,-13,3,1015,NW,73.76
2010,3,12,7,18,-14,3,1016,NW,82.7
2010,3,12,8,19,-15,4,1018,NW,88.51
2010,3,12,9,14,-16,5,1019,NE,3.13
2010,3,12,10,19,-18,6,1020,NW,8.05
2010,3,12,11,23,-20,7,1020,NW,12.97
2010,3,12,12,14,-20,8,1020,NW,20.12
2010,3,12,13,12,-18,9,1019,NW,25.93
2010,3,12,14,12,-19,9,1019,NW,30.85
2010,3,12,15,16,-18,9,1019,NE,3.13
2010,3,12,16,16,-19,8,1019,SE,3.13
2010,3,12,17,17,-18,8,1020,NE,3.13
2010,3,12,18,19,-19,7,1020,SE,1.79
2010,3,12,19,32,-17,4,1021,SE,2.68
2010,3,12,20,53,-13,2,1023,cv,0.89
2010,3,12,21,54,-8,0,1023,NE,0.89
2010,3,12,22,52,-12,2,1024,SE,4.02
2010,3,12,23,91,-5,1,1025,SE,8.04
2010,3,13,0,79,-5,0,1026,SE,12.06
2010,3,13,1,71,-6,0,1027,SE,16.08
2010,3,13,2,47,-7,-1,1026,SE,19.21
2010,3,13,3,40,-7,-1,1028,cv,0.89
2010,3,13,4,41,-7,0,1028,SE,3.13
2010,3,13,5,41,-8,0,1028,SE,6.26
2010,3,13,6,38,-10,0,1028,SE,8.05
2010,3,13,7,50,-10,-1,1028,cv,0.89
2010,3,13,8,69,-12,0,1029,SE,1.79
2010,3,13,9,82,-13,1,1029,SE,5.81
2010,3,13,10,79,-13,2,1029,SE,9.83
2010,3,13,11,76,-12,4,1029,SE,12.96
2010,3,13,12,78,-12,5,1028,SE,16.98
2010,3,13,13,71,-11,7,1027,SE,21
2010,3,13,14,73,-10,7,1025,SE,25.02
2010,3,13,15,68,-10,7,1024,SE,29.04
2010,3,13,16,58,-9,8,1024,SE,33.96
2010,3,13,17,61,-10,7,1023,SE,37.98
2010,3,13,18,58,-11,6,1024,SE,42
2010,3,13,19,75,-10,5,1024,SE,47.81
2010,3,13,20,78,-10,4,1024,SE,51.83
2010,3,13,21,64,-10,3,1025,SE,56.75
2010,3,13,22,53,-11,3,1025,SE,60.77
2010,3,13,23,41,-10,3,1025,cv,0.89
2010,3,14,0,37,-11,2,1025,SE,3.13
2010,3,14,1,44,-10,2,1025,SE,4.92
2010,3,14,2,65,-9,2,1024,SE,6.71
2010,3,14,3,68,-8,2,1023,cv,0.89
2010,3,14,4,75,-9,2,1023,SE,0.89
2010,3,14,5,80,-8,1,1023,cv,0.45
2010,3,14,6,80,-6,1,1023,NW,3.13
2010,3,14,7,105,-3,-1,1022,NW,6.26
2010,3,14,8,86,-2,-1,1022,NW,9.39
2010,3,14,9,93,-2,-1,1022,NW,11.18
2010,3,14,10,90,-2,-1,1021,NW,14.31
2010,3,14,11,73,-1,-1,1021,NW,16.1
2010,3,14,12,68,-1,0,1021,NW,20.12
2010,3,14,13,68,-1,0,1020,NW,23.25
2010,3,14,14,78,-1,0,1019,NW,26.38
2010,3,14,15,83,-1,0,1019,NW,28.17
2010,3,14,16,86,-1,0,1019,NW,29.96
2010,3,14,17,94,-1,0,1018,cv,0.45
2010,3,14,18,112,-1,0,1018,NE,0.89
2010,3,14,19,108,-2,-1,1018,NW,1.79
2010,3,14,20,116,-1,0,1019,NW,4.92
2010,3,14,21,105,-1,0,1019,NW,8.94
2010,3,14,22,112,-1,1,1019,NW,12.07
2010,3,14,23,87,-2,-1,1019,NW,13.86
2010,3,15,0,103,-1,0,1019,NW,17.88
2010,3,15,1,129,-1,0,1020,NW,21.01
2010,3,15,2,153,-2,2,1020,NW,26.82
2010,3,15,3,220,-3,1,1020,SE,1.79
2010,3,15,4,175,-8,2,1020,NW,4.02
2010,3,15,5,132,-10,2,1020,NW,11.17
2010,3,15,6,69,-13,1,1021,NW,16.98
2010,3,15,7,60,-12,0,1022,NW,22.79
2010,3,15,8,50,-13,1,1023,NW,26.81
2010,3,15,9,43,-13,1,1024,NW,33.96
2010,3,15,10,36,-11,1,1025,NW,41.11
2010,3,15,11,26,-12,2,1025,NW,50.05
2010,3,15,12,21,-12,2,1025,NW,62.12
2010,3,15,13,27,-11,2,1024,NW,73.3
2010,3,15,14,21,-10,3,1024,NW,83.13
2010,3,15,15,22,-11,3,1024,NW,94.31
2010,3,15,16,22,-11,4,1024,NW,106.38
2010,3,15,17,17,-11,4,1024,NW,116.21
2010,3,15,18,25,-11,3,1024,NW,124.26
2010,3,15,19,52,-12,3,1025,NW,129.18
2010,3,15,20,30,-11,1,1026,NW,132.31
2010,3,15,21,33,-13,2,1026,NW,134.1
2010,3,15,22,38,-11,-1,1026,NW,135.89
2010,3,15,23,44,-11,-1,1026,cv,0.89
2010,3,16,0,61,-10,-3,1026,NW,0.89
2010,3,16,1,63,-9,-3,1025,cv,0.89
2010,3,16,2,72,-9,-4,1025,cv,1.78
2010,3,16,3,67,-9,-4,1024,cv,2.67
2010,3,16,4,55,-9,-6,1023,SE,0.89
2010,3,16,5,50,-10,-7,1023,cv,0.89
2010,3,16,6,55,-10,-7,1023,cv,1.78
2010,3,16,7,71,-10,-7,1024,NE,0.89
2010,3,16,8,79,-9,-3,1024,NW,1.79
2010,3,16,9,72,-9,-1,1025,NW,3.58
2010,3,16,10,73,-12,1,1024,NW,6.71
2010,3,16,11,73,-15,2,1024,NW,8.5
2010,3,16,12,53,-13,4,1023,NE,1.79
2010,3,16,13,56,-13,5,1022,NE,3.58
2010,3,16,14,60,-14,6,1022,NE,5.37
2010,3,16,15,64,-13,6,1021,NW,1.79
2010,3,16,16,53,-14,7,1021,NW,3.58
2010,3,16,17,45,-12,7,1021,NW,6.71
2010,3,16,18,54,-11,4,1021,NW,8.5
2010,3,16,19,62,-10,3,1022,NW,11.63
2010,3,16,20,63,-7,2,1023,NW,14.76
2010,3,16,21,67,-9,2,1023,NE,1.79
2010,3,16,22,85,-11,4,1024,NW,3.13
2010,3,16,23,89,-11,4,1024,NE,3.13
2010,3,17,0,76,-9,3,1025,NW,3.13
2010,3,17,1,41,-7,2,1026,SE,1.79
2010,3,17,2,83,-7,1,1026,NE,1.79
2010,3,17,3,85,-11,2,1025,NE,6.71
2010,3,17,4,41,-11,2,1026,NE,9.84
2010,3,17,5,18,-12,2,1026,NE,13.86
2010,3,17,6,27,-13,1,1027,NE,19.67
2010,3,17,7,33,-15,1,1027,NE,26.82
2010,3,17,8,34,-15,1,1028,NE,33.97
2010,3,17,9,28,-16,2,1029,NE,39.78
2010,3,17,10,27,-15,3,1029,NE,44.7
2010,3,17,11,23,-15,5,1028,NE,49.62
2010,3,17,12,22,-14,5,1027,NE,54.54
2010,3,17,13,26,-17,6,1027,NE,58.56
2010,3,17,14,20,-17,6,1026,SE,3.13
2010,3,17,15,21,-17,7,1025,NE,3.13
2010,3,17,16,24,-18,7,1025,cv,1.79
2010,3,17,17,23,-17,7,1025,cv,2.68
2010,3,17,18,28,-14,5,1025,SE,0.89
2010,3,17,19,39,-12,3,1025,cv,0.89
2010,3,17,20,51,-12,2,1026,SE,0.89
2010,3,17,21,67,-11,1,1026,cv,0.45
2010,3,17,22,66,-7,-1,1026,NE,0.89
2010,3,17,23,76,-6,-1,1027,SE,4.92
2010,3,18,0,71,-5,-1,1027,SE,9.84
2010,3,18,1,89,-5,-2,1027,SE,13.86
2010,3,18,2,96,-5,-2,1026,SE,17.88
2010,3,18,3,91,-5,-2,1026,SE,19.67
2010,3,18,4,86,-5,-2,1025,cv,0.89
2010,3,18,5,83,-4,-2,1025,cv,1.78
2010,3,18,6,80,-4,-1,1025,cv,2.67
2010,3,18,7,90,-4,-1,1024,cv,3.56
2010,3,18,8,110,-4,-1,1024,SE,1.79
2010,3,18,9,135,-4,-1,1024,SE,3.58
2010,3,18,10,144,-3,0,1023,SE,5.37
2010,3,18,11,166,-3,1,1022,cv,0.89
2010,3,18,12,179,-3,2,1021,SE,1.79
2010,3,18,13,201,-3,3,1020,SE,3.58
2010,3,18,14,227,-2,4,1018,cv,0.89
2010,3,18,15,219,-2,3,1016,NW,3.13
2010,3,18,16,208,-2,2,1015,NE,3.13
2010,3,18,17,202,-3,2,1015,NW,4.02
2010,3,18,18,205,-2,2,1014,NW,5.81
2010,3,18,19,206,-2,2,1014,NW,7.6
2010,3,18,20,209,-3,2,1014,cv,0.89
2010,3,18,21,226,-2,2,1013,NE,0.89
2010,3,18,22,222,-2,2,1012,NE,1.78
2010,3,18,23,239,-2,2,1011,cv,0.89
2010,3,19,0,241,-1,2,1011,cv,1.78
2010,3,19,1,249,-1,3,1009,cv,2.67
2010,3,19,2,248,0,3,1008,cv,3.56
2010,3,19,3,247,2,3,1007,SE,1.79
2010,3,19,4,228,2,3,1006,cv,0.89
2010,3,19,5,225,2,3,1005,NW,0.89
2010,3,19,6,222,2,3,1005,NW,1.78
2010,3,19,7,221,2,2,1004,NW,3.57
2010,3,19,8,214,2,3,1004,NW,5.36
2010,3,19,9,217,2,3,1004,NW,8.49
2010,3,19,10,231,2,3,1003,NW,10.28
2010,3,19,11,249,3,4,1002,cv,0.89
2010,3,19,12,245,3,5,1002,NE,1.79
2010,3,19,13,250,3,5,1001,cv,0.89
2010,3,19,14,232,2,7,1001,cv,1.78
2010,3,19,15,243,2,7,1000,SE,1.79
2010,3,19,16,239,2,7,1001,cv,0.89
2010,3,19,17,234,2,7,1001,cv,1.78
2010,3,19,18,240,2,7,1001,cv,2.67
2010,3,19,19,224,2,6,1001,SE,1.79
2010,3,19,20,206,2,6,1002,SE,5.81
2010,3,19,21,217,2,5,1002,SE,8.94
2010,3,19,22,180,2,4,1002,cv,0.89
2010,3,19,23,180,2,4,1002,SE,1.79
2010,3,20,0,183,3,4,1002,cv,0.89
2010,3,20,1,180,3,5,1003,NE,1.79
2010,3,20,2,216,3,4,1001,SE,1.79
2010,3,20,3,215,3,4,1001,NW,1.79
2010,3,20,4,700,2,6,1000,NW,4.92
2010,3,20,5,600,2,5,999,SE,1.79
2010,3,20,6,500,-6,9,1001,NW,12.07
2010,3,20,7,473,-2,7,1002,NW,23.25
2010,3,20,8,201,-5,7,1003,NW,35.32
2010,3,20,9,274,-5,7,1004,NW,46.5
2010,3,20,10,381,-5,7,1006,NW,58.57
2010,3,20,11,343,-7,8,1008,NW,69.75
2010,3,20,12,156,-10,8,1010,NW,84.95
2010,3,20,13,64,-14,7,1012,NW,98.81
2010,3,20,14,51,-19,10,1012,NW,114.01
2010,3,20,15,47,-18,10,1012,NW,129.21
2010,3,20,16,37,-17,10,1013,NW,140.39
2010,3,20,17,26,-15,9,1014,NW,149.33
2010,3,20,18,22,-13,8,1015,NW,158.27
2010,3,20,19,19,-12,7,1016,NW,163.19
2010,3,20,20,23,-12,7,1016,NW,166.32
2010,3,20,21,21,-10,7,1017,NW,171.24
2010,3,20,22,27,-7,6,1017,NW,177.05
2010,3,20,23,41,-5,5,1017,NW,181.97
2010,3,21,0,46,-6,3,1017,NW,185.1
2010,3,21,1,55,-5,3,1017,cv,0.89
2010,3,21,2,46,-5,2,1018,cv,1.78
